event_id,created_at,urgency_score,listed_signal_ids,found_signal_ids
3126793e-eae0-4fec-9653-769278478b24,2026-06-17 01:15:24.857172+00,100,6,0
9925d756-559e-475a-9095-cfb834be05ed,2026-06-08 00:37:19.846215+00,100,4,0
d40c595a-08f6-46fc-97c6-7e7c6b0d84ff,2026-06-22 10:12:39.727254+00,96,3,0
01d6ebb2-a6f6-44f7-9e9f-4bf1808afe77,2026-07-01 02:37:49.29823+00,94,2,0
605fd0f9-29d5-4ad9-82b2-6ce7ddb2c366,2026-07-12 01:46:27.813215+00,90,4,0
bd0d818a-4ded-4b22-a3cd-6aa374da0423,2026-07-10 10:15:30.286155+00,90,8,0
52311ca7-a91e-46b8-96c3-29d381add15f,2026-07-10 08:45:28.901426+00,90,4,0
791f8ed4-0272-45e0-9f89-3d68715d0456,2026-07-12 02:46:30.66841+00,82,1,0
